id	regeste	issuer
Fontenay 224	 : notifié en 1195 par l’évêque Cartulaire 1, fol. 48v-49r (Flaciacum, 34)
Fontenay 230	 : déjà notifié en 1194 par le duc
Fontenay 251	Innocent [III]
Fontenay 264	comte de Joigny d’après analyse 15 H 1
Fontenay 265	Innocent [III]
Fontenay 266	Innocent [III]
Fontenay 267	Innocent [III]
Fontenay 276	Innocent [III]
Fontenay 281	Innocent [III]
Fontenay 305	Accord intervenu entre Fontenay et une autre partie non mentionnée sur les pâturages de Juvency.
